flight_number,launch_year,launch_date_utc,rocket_name,rocket_type,launch_site
36,2017,2017-02-19T14:39:00.000Z,Falcon 9,FT,KSC LC 39A
37,2017,2017-03-16T06:00:00.000Z,Falcon 9,FT,KSC LC 39A
38,2017,2017-03-30T22:27:00.000Z,Falcon 9,FT,KSC LC 39A
39,2017,2017-05-01T11:15:00.000Z,Falcon 9,FT,KSC LC 39A
40,2017,2017-05-15T23:21:00.000Z,Falcon 9,FT,KSC LC 39A
41,2017,2017-06-03T21:07:00.000Z,Falcon 9,FT,KSC LC 39A
42,2017,2017-06-23T19:10:00.000Z,Falcon 9,FT,KSC LC 39A
43,2017,2017-06-25T20:25:00.000Z,Falcon 9,FT,VAFB SLC 4E
44,2017,2017-07-05T23:35:00.000Z,Falcon 9,FT,KSC LC 39A
45,2017,2017-08-14T16:31:00.000Z,Falcon 9,FT,KSC LC 39A
46,2017,2017-08-24T18:50:00.000Z,Falcon 9,FT,VAFB SLC 4E
47,2017,2017-09-07T13:50:00.000Z,Falcon 9,FT,KSC LC 39A
48,2017,2017-10-09T12:37:00.000Z,Falcon 9,FT,VAFB SLC 4E
49,2017,2017-10-11T22:53:00.000Z,Falcon 9,FT,KSC LC 39A
50,2017,2017-10-30T19:34:00.000Z,Falcon 9,FT,KSC LC 39A
51,2017,2017-12-15T15:36:00.000Z,Falcon 9,FT,CCAFS SLC 40
52,2017,2017-12-23T01:27:23.000Z,Falcon 9,FT,VAFB SLC 4E
53,2018,2018-01-08T01:00:00.000Z,Falcon 9,FT,CCAFS SLC 40
54,2018,2018-01-31T21:25:00.000Z,Falcon 9,FT,CCAFS SLC 40
55,2018,2018-02-06T20:45:00.000Z,Falcon Heavy,FT,KSC LC 39A
56,2018,2018-02-22T14:17:00.000Z,Falcon 9,FT,VAFB SLC 4E
57,2018,2018-03-06T05:33:00.000Z,Falcon 9,FT,CCAFS SLC 40
58,2018,2018-03-30T14:13:51.000Z,Falcon 9,FT,VAFB SLC 4E
59,2018,2018-04-02T20:30:41.000Z,Falcon 9,FT,CCAFS SLC 40
60,2018,2018-04-18T22:51:00.000Z,Falcon 9,FT,CCAFS SLC 40
61,2018,2018-05-11T20:14:00.000Z,Falcon 9,FT,KSC LC 39A
62,2018,2018-05-22T19:47:58.000Z,Falcon 9,FT,VAFB SLC 4E
63,2018,2018-06-04T04:45:00.000Z,Falcon 9,FT,CCAFS SLC 40
64,2018,2018-06-29T09:42:00.000Z,Falcon 9,FT,CCAFS SLC 40
65,2018,2018-07-22T05:50:00.000Z,Falcon 9,FT,CCAFS SLC 40
66,2018,2018-07-25T11:39:26.000Z,Falcon 9,FT,VAFB SLC 4E
67,2018,2018-08-07T05:18:00.000Z,Falcon 9,FT,CCAFS SLC 40
68,2018,2018-09-10T04:45:00.000Z,Falcon 9,FT,CCAFS SLC 40
69,2018,2018-10-08T02:22:00.000Z,Falcon 9,FT,VAFB SLC 4E
70,2018,2018-11-15T20:46:00.000Z,Falcon 9,FT,KSC LC 39A
